Gene,Importance
219230_at,0.001291914228239878
218872_at,0.0012886052785854403
223496_s_at,0.0012874078861369383
233103_at,0.0012837986522561047
202543_s_at,0.0012776198298887305
244876_at,0.0012762662148265546
218781_at,0.0012697743295371723
216702_x_at,0.0012458854764695023
211673_s_at,0.0012374237152812208
201287_s_at,0.00122395651715176
218107_at,0.0012226581464384616
201726_at,0.0012213166340077641
236359_at,0.0012208167098648269
201890_at,0.0012027599466403176
200890_s_at,0.0011972126906350166
218782_s_at,0.0011849992055404054
208953_at,0.0011778513342310163
213911_s_at,0.001165449567203232
242862_x_at,0.0011605077952349314
222386_s_at,0.0011407340012348677
203249_at,0.0011391772495615703
232540_x_at,0.0011300989686914827
217986_s_at,0.0011232857314853384
211697_x_at,0.0011145907792206049
222537_s_at,0.0011144785164341664
210978_s_at,0.0011134084585596006
225439_at,0.0011106241411162723
213350_at,0.0011061681467630262
208609_s_at,0.0011053579262702683
233919_s_at,0.001104542401315787
1558170_at,0.0011035666353013402
209162_s_at,0.001101165396400899
211719_x_at,0.001091275253191837
203622_s_at,0.0010864191126348974
202817_s_at,0.0010857541007208106
200900_s_at,0.0010788457082865695
230922_x_at,0.0010635664002313855
243526_at,0.0010525999387319114
205200_at,0.0010447299017251016
219978_s_at,0.001043372492690783
219550_at,0.0010422311863926578
206243_at,0.0010400068703346349
1569872_a_at,0.0010245797366820952
200729_s_at,0.00101633317959259
219099_at,0.0010122536966881161
203213_at,0.0010005300993468022
204026_s_at,0.0009920320761267545
201950_x_at,0.0009919788572480869
201273_s_at,0.0009813928490169247
1553243_at,0.000977815184914602
215921_at,0.0009768676085576088
222187_x_at,0.0009563695254211407
201088_at,0.0009535614222303411
201689_s_at,0.0009511259078785525
203630_s_at,0.0009448777602798612
222587_s_at,0.0009402179152133163
225402_at,0.0009369949359768422
221561_at,0.0009327004538537085
200751_s_at,0.0009271705130771043
204478_s_at,0.0009029247966167893
224377_s_at,0.0008926155050769933
1555730_a_at,0.0008887566253499257
223796_at,0.000887436840894099
200996_at,0.0008640013330918719
218717_s_at,0.0008361877867716969
228831_s_at,0.0008216086481045989
221528_s_at,0.0008130602520075419
207608_x_at,0.0008101911413052439
208540_x_at,0.0007944212297144952
213226_at,0.0007763606724756682
219058_x_at,0.0007553014466092109
212902_at,0.0007319403405571381
233757_x_at,0.0007295317979807574
205644_s_at,0.0006918283886992963
210216_x_at,0.0006829936295510705
212344_at,0.0006641799033180882
226822_at,0.0006633553986096283
229951_x_at,0.0006604358044075724
210800_at,0.0006602646230869986
219121_s_at,0.0006592339307973236
203108_at,0.0006565573845401863
222976_s_at,0.0006545122356759851
201761_at,0.0006533201604973816
202870_s_at,0.0006492255060997623
1566303_s_at,0.0006364967247675035
229490_s_at,0.0006314059352920578
241636_x_at,0.0006290286814365375
218567_x_at,0.0006289103535841415
206560_s_at,0.0006288221844543566
215441_at,0.0006171749174358707
241632_x_at,0.0006121279736803317
206438_x_at,0.00060030862523629
244027_at,0.0005951715910917738
206102_at,0.0005933627870309437
32259_at,0.0005927483500072322
235759_at,0.0005871128834621444
219689_at,0.0005800164630634175
202469_s_at,0.0005771375077168767
